FM17ID,Country_name
106,Afghanistan
752,Albania
5,Algeria
129504,American Samoa
753,Andorra
6,Angola
129514,Anguilla
359,Antigua and Barbuda
1649,Argentina
754,Armenia
360,Aruba
1435,Australia
755,Austria
756,Azerbaijan
107,Bahrain
108,Bangladesh
361,Barbados
758,Belarus
757,Belgium
362,Belize
7,Benin
363,Bermuda
131012,Bhutan
1650,Bolivia
214395,Bonaire
788995,Borneo Malay
759,Bosnia and Herzegovina
8,Botswana
1651,Brazil
129517,British Virgin Islands
109,Brunei Darussalam
760,Bulgaria
9,Burkina Faso
5630219,Burma
10,Burundi
118,Cambodia
11,Cameroon
364,Canada
12,Cape Verde Islands
365,Cayman Islands
13,Central African Republic
14,Chad
1652,Chile
110,China PR
138,Chinese Taipei (China PR)
1653,Colombia
574,Commonwealth of Soviet States
919586,Comoros
49,Congo
1436,Cook Islands
366,Costa Rica
215446,Crimea
761,Croatia
367,Cuba
380,Curaçao
762,Cyprus
763,Czech Republic
575,Czechoslovakia
53,Democratic Republic of Congo
764,Denmark
15,Djibouti
368,Dominica
142527,Dominican Republic
577,East Germany
5626837,East Timor
1654,Ecuador
16,Egypt
370,El Salvador
765,England
17,Equatorial Guinea
129511,Eritrea
766,Estonia
18,Ethiopia
767,Faroe Islands
1437,Fiji
768,Finland
769,France
917496,French Guiana
781,FYR of Macedonia
19,Gabon
770,Georgia
771,Germany
21,Ghana
214394,Gibraltar
145174,Great Britain
772,Greece
371,Grenada
917498,Guadeloupe
129508,Guam
373,Guatemala
22,Guinea
23,Guinea-Bissau
374,Guyana
375,Haiti
784,Holland
376,Honduras
111,Hong Kong (China PR)
773,Hungary
774,Iceland
112,India
113,Indonesia
114,Iran
115,Iraq
52024163,Ireland (Pre-1922)
775,Israel
776,Italy
24,Ivory Coast
377,Jamaica
116,Japan
117,Jordan
119,Kazakhstan
25,Kenya
209002,Kiribati
217945,Kosovo
120,Kuwait
121,Kyrgyzstan
122,Laos
777,Latvia
123,Lebanon
26,Lesotho
27,Liberia
28,Libya
778,Liechtenstein
779,Lithuania
780,Luxembourg
124,Macau (China PR)
29,Madagascar
30,Malawi
125,Malaysia
126,Maldives
31,Mali
782,Malta
917502,Martinique
32,Mauritania
33,Mauritius
918740,Mayotte
379,Mexico
15064643,Micronesia
0,Micronesia
783,Moldova
8162661,Monaco
129505,Mongolia
62002127,Montenegro
129520,Montserrat
34,Morocco
35,Mozambique
127,Myanmar
36,Namibia
128,Nepal
129532,New Caledonia
1438,New Zealand
381,Nicaragua
37,Niger
38,Nigeria
129,North Korea
785,Northern Ireland
23008660,Northern Mariana Islands
786,Norway
130,Oman
131,Pakistan
1662,Palestine
382,Panama
1439,Papua New Guinea
1655,Paraguay
114502,Pays Basque
1656,Peru
141,Philippines
787,Poland
788,Portugal
383,Puerto Rico
132,Qatar
789,Republic of Ireland
917510,Réunion
790,Romania
791,Russia
39,Rwanda
385,Saint Kitts and Nevis
384,Saint Lucia
917508,Saint Martin
918748,Saint Pierre and Miquelon
386,Saint Vincent and the Grenadines
917509,Saint-Martin
1444,Samoa
792,San Marino
40,São Tomé and Príncipe
133,Saudi Arabia
793,Scotland
788980,SEA Chinese
41,Senegal
802,Serbia
42,Seychelles
43,Sierra Leone
134,Singapore
788987,Singh Indian
917506,Sint Maarten
794,Slovakia
795,Slovenia
1440,Solomon Islands
44,Somalia
45,South Africa
135,South Korea
13113220,South Sudan
5626565,South Vietnam
208996,South Yemen
583,Soviet Union
796,Spain
136,Sri Lanka
46,Sudan
387,Suriname
47,Swaziland
797,Sweden
798,Switzerland
137,Syria
1441,Tahiti
139,Tajikistan
788990,Tamil Indian
48,Tanzania
140,Thailand
388,The Bahamas
20,The Gambia
50,Togo
1442,Tonga
389,Trinidad and Tobago
51,Tunisia
799,Turkey
142,Turkmenistan
129526,Turks and Caicos Islands
23088616,Tuvalu
52,Uganda
800,Ukraine
143,United Arab Emirates
29118470,United Arab Republic
219003,United Kingdom
390,United States
13116454,Upper Volta
1657,Uruguay
129523,US Virgin Islands
144,Uzbekistan
1443,Vanuatu
1658,Venezuela
145,Vietnam
801,Wales
918745,Wallis and Futuna Islands
584,West Germany
788999,West Malay
146,Yemen
62003815,Yugoslavia
103277,Zaire
54,Zambia
13100103,Zanzibar
55,Zimbabwe
